"short_description","icd_code","long_title"
"Hospital observation services","0049   ","Shigellosis, unspecified"
"Hospital observation services","0059   ","Food poisoning, unspecified"
"Hospital observation services","0071   ","Giardiasis"
"Hospital observation services","0074   ","Cryptosporidiosis"
"Hospital observation services","00800  ","Intestinal infection due to E. coli, unspecified"
"Digestive system","00843  ","Intestinal infection due to campylobacter"
"Hospital observation services","00843  ","Intestinal infection due to campylobacter"
"Musculoskeletal system","00843  ","Intestinal infection due to campylobacter"
"Hospital observation services","00844  ","Intestinal infection due to yersinia enterocolitica"
"Cardiovascular","00845  ","Intestinal infection due to Clostridium difficile"
"Cardiovascular system","00845  ","Intestinal infection due to Clostridium difficile"
"Digestive system","00845  ","Intestinal infection due to Clostridium difficile"
"Female genital system","00845  ","Intestinal infection due to Clostridium difficile"
"Hospital observation services","00845  ","Intestinal infection due to Clostridium difficile"
"Nervous system","00845  ","Intestinal infection due to Clostridium difficile"
"Hospital observation services","0085   ","Bacterial enteritis, unspecified"
"Hospital observation services","00863  ","Enteritis due to norwalk virus"
"Hospital observation services","00869  ","Enteritis due to other viral enteritis"
"Digestive system","0088   ","Intestinal infection due to other organism, not elsewhere classified"
"Hospital observation services","0088   ","Intestinal infection due to other organism, not elsewhere classified"
"Musculoskeletal system","0088   ","Intestinal infection due to other organism, not elsewhere classified"
"Nervous system","0088   ","Intestinal infection due to other organism, not elsewhere classified"
"Respiratory system","0088   ","Intestinal infection due to other organism, not elsewhere classified"
"Digestive system","0090   ","Infectious colitis, enteritis, and gastroenteritis"
"Hospital observation services","0090   ","Infectious colitis, enteritis, and gastroenteritis"
"Digestive system","0091   ","Colitis, enteritis, and gastroenteritis of presumed infectious origin"
"Hospital observation services","0091   ","Colitis, enteritis, and gastroenteritis of presumed infectious origin"
"Musculoskeletal system","0091   ","Colitis, enteritis, and gastroenteritis of presumed infectious origin"
"Hospital observation services","0092   ","Infectious diarrhea"
"Hospital observation services","0093   ","Diarrhea of presumed infectious origin"
"Hospital observation services","01160  ","Tuberculous pneumonia [any form], unspecified"
"Cardiovascular system","01190  ","Pulmonary tuberculosis, unspecified, unspecified"
"Hospital observation services","01190  ","Pulmonary tuberculosis, unspecified, unspecified"
"Cardiovascular","0312   ","Disseminated due to other mycobacteria"
"Digestive system","0312   ","Disseminated due to other mycobacteria"
"Hospital observation services","0312   ","Disseminated due to other mycobacteria"
"Hospital observation services","0318   ","Other specified mycobacterial diseases"
"Hospital observation services","0319   ","Unspecified diseases due to mycobacteria"
"Integumentary system","0319   ","Unspecified diseases due to mycobacteria"
